filename,vessel_density
Angio Retina_OD-Superficial_sub-000108.png_IT.csv,63.746832924321815
Angio Retina_OS-Superficial_sub-000108.png_IT.csv,36.42140047206924
Angio Retina_OD-Deep_sub-000108.png_IS.csv,76.02214462923826
Angio Retina_OS-Superficial_sub-000108.png_IS.csv,36.19771833202203
Angio Retina_OS-Deep_sub-000108.png_IN.csv,38.71866531165312
Angio Retina_OD-Superficial_sub-000108.png_innerCircle.csv,9.517604074402126
Angio Retina_OS-Superficial_sub-000108.png_II.csv,37.74052821883352
Angio Retina_OS-Deep_sub-000108.png_IT.csv,35.06273812547625
Angio Retina_OS-Deep_sub-000108.png_innerCircle.csv,19.11988076723691
Angio Retina_OD-Superficial_sub-000108.png_IN.csv,66.1361350099272
Angio Retina_OD-Deep_sub-000108.png_II.csv,77.47893529141808
Angio Retina_OS-Superficial_sub-000089.png_IT.csv,64.26792568708737
Angio Retina_OD-Superficial_sub-000089.png_innerCircle.csv,10.273180592991913
Angio Retina_OD-Deep_sub-000089.png_IN.csv,76.09385373704859
Angio Retina_OS-Deep_sub-000089.png_IN.csv,75.51830789184875
Angio Retina_OS-Deep_sub-000089.png_IS.csv,80.96427149681529
Angio Retina_OS-Superficial_sub-000089.png_IS.csv,63.68132964839552
Angio Retina_OS-Superficial_sub-000089.png_II.csv,65.44822825586746
Angio Retina_OD-Superficial_sub-000089.png_IT.csv,59.8679592024258
Angio Retina_OS-Superficial_sub-000089.png_innerCircle.csv,10.250373134328358
Angio Retina_OS-Deep_sub-000089.png_II.csv,80.73870098772822
Angio Retina_OD-Superficial_sub-000089.png_II.csv,59.7806333180358
Angio Retina_OD-Deep_sub-000089.png_II.csv,74.50809777688362
Angio Retina_OD-Superficial_sub-000089.png_IS.csv,61.98842231002481
Angio Retina_OS-Deep_sub-000089.png_IT.csv,77.71287818471338
Angio Retina_OD-Deep_sub-000089.png_innerCircle.csv,42.753233970753655
Angio Retina_OD-Deep_sub-000089.png_IT.csv,77.15460493205838
Angio Retina_OD-Superficial_sub-000089.png_IN.csv,54.48214777420835
Angio Retina_OS-Deep_sub-000089.png_innerCircle.csv,40.77052868391451
Angio Retina_OD-Deep_sub-000089.png_IS.csv,75.89964771011576
Angio Retina_OS-Superficial_sub-000089.png_IN.csv,61.065807639208465
Angio Retina_OS-Superficial_sub-000045.png_IS.csv,60.56776624092622
Angio Retina_OS-Deep_sub-000045.png_IS.csv,80.01101603226124
Angio Retina_OD-Superficial_sub-000045.png_IT.csv,60.921253330883026
Angio Retina_OD-Superficial_sub-000045.png_II.csv,62.466819642037635
Angio Retina_OD-Superficial_sub-000045.png_innerCircle.csv,16.275067385444743
Angio Retina_OD-Deep_sub-000045.png_IT.csv,79.6002357100766
Angio Retina_OS-Superficial_sub-000045.png_II.csv,62.383019733822856
Angio Retina_OD-Deep_sub-000045.png_IS.csv,76.85939893930465
Angio Retina_OD-Superficial_sub-000045.png_IN.csv,54.1691601652134
Angio Retina_OS-Deep_sub-000045.png_innerCircle.csv,46.41310461192351
Angio Retina_OS-Superficial_sub-000045.png_IN.csv,62.65920146856356
Angio Retina_OS-Superficial_sub-000045.png_innerCircle.csv,13.020080862533693
Angio Retina_OS-Superficial_sub-000045.png_IT.csv,59.26049802444179
Angio Retina_OS-Deep_sub-000045.png_IN.csv,83.0
Angio Retina_OS-Deep_sub-000045.png_II.csv,83.49661731542308
Angio Retina_OS-Deep_sub-000045.png_IT.csv,79.20792760893086
Angio Retina_OD-Deep_sub-000045.png_II.csv,77.9759320434167
Angio Retina_OD-Superficial_sub-000045.png_IS.csv,60.11586878618028
Angio Retina_OD-Deep_sub-000045.png_innerCircle.csv,40.33828939301042
Angio Retina_OD-Deep_sub-000045.png_IN.csv,77.73714016045304
Angio Retina_OS-Superficial_sub-000100.png_IT.csv,69.66701417848206
Angio Retina_OD-Superficial_sub-000100.png_IT.csv,71.54422903203391
